item_id,order_id,product_id,qty,unit_price
1,1,5,1,29000
2,1,11,2,2500
3,2,6,1,8500
4,3,13,1,8000
5,3,17,2,1800
6,4,1,1,125000
7,5,8,1,28000
8,5,7,1,6500
9,6,13,1,8000
10,7,2,1,79000
11,7,5,1,29000
12,8,4,1,95000
13,9,11,3,2500
14,10,3,1,74000
15,11,16,2,4000
16,12,1,1,125000
17,12,6,1,8500
18,13,14,2,4500
19,14,2,1,79000
20,14,12,1,4500
21,15,1,1,125000
22,15,4,1,95000
23,16,17,4,1800
24,17,1,1,125000
25,17,8,1,28000
26,18,5,2,29000
27,19,9,1,35000
28,19,10,1,22000
29,20,1,1,125000
30,20,4,1,95000
31,21,2,1,79000
32,21,3,1,74000
33,22,6,2,8500
34,23,9,1,35000
35,23,10,1,22000
36,23,1,1,125000
37,24,1,1,125000
38,25,2,1,79000
39,25,5,1,29000
