order_id,customer_id,order_date,status,total
1,1,2024-01-10,completed,2500
2,1,2024-02-15,completed,800
3,1,2024-03-20,pending,1200
4,2,2024-01-20,completed,5000
5,2,2024-02-28,completed,3400
6,3,2024-03-01,pending,1200
7,4,2024-01-05,completed,7500
8,4,2024-02-10,completed,2100
9,4,2024-03-10,cancelled,900
10,5,2024-01-15,completed,4200
11,5,2024-03-20,pending,2100
12,7,2024-01-25,completed,6300
13,7,2024-02-14,completed,1800
14,7,2024-03-05,completed,4500
15,8,2024-01-30,completed,9200
16,8,2024-02-20,cancelled,500
17,10,2024-01-08,completed,11000
18,10,2024-02-25,completed,3700
19,10,2024-03-15,pending,5600
20,12,2024-01-12,completed,15000
21,12,2024-02-08,completed,8800
22,14,2024-02-01,completed,2300
23,15,2024-01-18,completed,22000
24,15,2024-03-01,completed,9500
25,2,2024-03-10,completed,6700
